ordinal__Parental_Involvement,ordinal__Access_to_Resources,ordinal__Motivation_Level,ordinal__Family_Income,ordinal__Teacher_Quality,ordinal__Peer_Influence,ordinal__Parental_Education_Level,ordinal__Distance_from_Home,nominal__Extracurricular_Activities_No,nominal__Extracurricular_Activities_Yes,nominal__Internet_Access_No,nominal__Internet_Access_Yes,nominal__School_Type_Private,nominal__School_Type_Public,nominal__Learning_Disabilities_No,nominal__Learning_Disabilities_Yes,nominal__Gender_Female,nominal__Gender_Male,skewed_num__Hours_Studied,skewed_num__Tutoring_Sessions,standard_num__Attendance,standard_num__Sleep_Hours,standard_num__Previous_Scores,standard_num__Physical_Activity,Exam_Score
2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.673412264498433,-0.24022295979711117,-0.4231268100379018,-0.7025751173293079,-1.6703107116750286,0.03038141739033513,
0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.3300757218622787,0.5675831586870179,1.313275093173118,-2.074244675912755,0.48169384505356594,0.03038141739033513,
2.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.839969008732227,-1.471905932366928,-1.551788047125065,-1.3884098966210314,-0.2819206750759354,0.9976452180404681,
1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0064763384636106,1.183758722320651,0.8791746173703632,0.6690944412541391,-0.6984376860556634,-0.9368823832597979,
0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.1626997335917064,0.5675831586870179,0.6187143318887102,2.040763999837586,-1.4620522061851646,-0.9368823832597979,
0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.4940601337990185,-1.471905932366928,-0.7704071906801059,-0.7025751173293079,0.2040158377337473,0.9976452180404681,
2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.8328353064885432,-0.24022295979711117,0.5318942367281592,0.6690944412541391,0.7593718523733847,-1.904146183909931,
2.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.3393500015822897,-0.24022295979711117,-1.6386081422856158,-2.074244675912755,1.1758888633531126,0.9976452180404681,
1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.672046505218234,1.183758722320651,1.2264549980125672,-1.3884098966210314,-1.600891209845074,-0.9368823832597979,
1.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.6611013161281462,0.5675831586870179,-0.5967670003590039,-0.7025751173293079,-0.2819206750759354,1.964909018690601,
1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.3401423929153288,1.687916313021881,0.27143395124650616,0.6690944412541391,-1.0455351952054368,-0.9368823832597979,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5068041125862829,0.5675831586870179,-0.3363067148773508,-0.016740338037584422,-0.6290181842257087,0.03038141739033513,
2.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.172936098572023,1.183758722320651,-0.6835870955195549,0.6690944412541391,-1.5314717080151194,0.03038141739033513,
2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0064763384636106,-0.24022295979711117,-0.07584642939569783,-0.016740338037584422,-0.6290181842257087,1.964909018690601,
1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0064763384636106,0.5675831586870179,1.5737353786547712,-0.016740338037584422,1.522986372502886,-0.9368823832597979,
1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.3393500015822897,0.5675831586870179,0.6187143318887102,-0.016740338037584422,-0.35134017690589003,-0.9368823832597979,
1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0064763384636106,0.5675831586870179,-1.0308674761617589,0.6690944412541391,-0.8372766897155727,0.03038141739033513,
0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.673412264498433,1.183758722320651,-1.725428237446167,-0.7025751173293079,1.1758888633531126,-0.9368823832597979,
1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.172936098572023,-1.471905932366928,-0.07584642939569783,-0.7025751173293079,-0.6984376860556634,-0.9368823832597979,
0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.1626997335917064,-0.24022295979711117,1.1396349028520163,-2.074244675912755,-1.5314717080151194,-1.904146183909931,
1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.9954160107828299,1.183758722320651,-0.3363067148773508,-0.016740338037584422,0.68995235054343,0.03038141739033513,
1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.1601887648634528,1.183758722320651,0.9659947125309142,-0.016740338037584422,-1.2537937006953006,0.03038141739033513,
1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.3270905501287735,-1.471905932366928,1.660555473815322,-2.074244675912755,-1.4620522061851646,0.03038141739033513,
2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.9954160107828299,0.5675831586870179,-1.725428237446167,-1.3884098966210314,-1.7397302135049835,0.03038141739033513,
0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.004577380876113,-0.24022295979711117,0.35825404640705716,0.6690944412541391,1.4535668706729312,0.03038141739033513,
1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.497551143461212,-0.24022295979711117,1.5737353786547712,1.3549292205458625,0.48169384505356594,0.03038141739033513,
2.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.4940601337990185,0.5675831586870179,-0.9440473810012079,1.3549292205458625,1.4535668706729312,0.03038141739033513,
1.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.1626997335917064,1.687916313021881,-0.07584642939569783,-0.016740338037584422,-0.35134017690589003,0.03038141739033513,
1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.1601887648634528,0.5675831586870179,-1.4649679519645138,-0.016740338037584422,-1.3232132025252554,0.03038141739033513,
1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.1734247566449576,0.5675831586870179,0.010973665764853174,-0.7025751173293079,0.273435339563702,0.03038141739033513,
0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3401423929153288,-0.24022295979711117,0.8791746173703632,-1.3884098966210314,1.6618253761627952,-0.9368823832597979,
0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.828218347021066,1.183758722320651,0.35825404640705716,-0.7025751173293079,1.1758888633531126,0.03038141739033513,
1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.00664864033030642,-1.471905932366928,-1.378147856803963,-0.7025751173293079,0.4122743432236113,-1.904146183909931,
2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.1601887648634528,-1.471905932366928,-1.378147856803963,1.3549292205458625,-1.2537937006953006,0.03038141739033513,
0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.8328353064885432,-1.471905932366928,-1.6386081422856158,-0.016740338037584422,-1.5314717080151194,-0.9368823832597979,
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.4940601337990185,1.183758722320651,1.660555473815322,0.6690944412541391,-0.9066961915455274,0.03038141739033513,
1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.9954160107828299,2.1176850175133426,1.313275093173118,0.6690944412541391,-1.6703107116750286,0.9976452180404681,
1.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.3393500015822897,-1.471905932366928,-0.9440473810012079,0.6690944412541391,1.6618253761627952,0.03038141739033513,
1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.673412264498433,1.183758722320651,-0.6835870955195549,-0.016740338037584422,-0.004242667756116709,-0.9368823832597979,
1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.1626997335917064,0.5675831586870179,-0.16266652455624883,1.3549292205458625,1.4535668706729312,0.03038141739033513,
2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.1601887648634528,-0.24022295979711117,-0.6835870955195549,-0.016740338037584422,0.06517683407383795,-0.9368823832597979,
0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.828218347021066,0.5675831586870179,-0.07584642939569783,2.040763999837586,0.273435339563702,0.9976452180404681,
2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.673412264498433,-0.24022295979711117,1.2264549980125672,0.6690944412541391,0.34285484139365663,0.9976452180404681,
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.9954160107828299,-1.471905932366928,-1.378147856803963,-0.7025751173293079,0.68995235054343,0.03038141739033513,
2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.3401423929153288,1.183758722320651,-1.4649679519645138,-1.3884098966210314,-1.5314717080151194,-0.9368823832597979,
0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.497551143461212,-0.24022295979711117,-0.7704071906801059,0.6690944412541391,-1.39263270435521,0.03038141739033513,
2.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.1601887648634528,2.1176850175133426,0.27143395124650616,-0.7025751173293079,-0.4207596787358447,-0.9368823832597979,
0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.497551143461212,-1.471905932366928,0.6187143318887102,0.6690944412541391,-1.2537937006953006,-0.9368823832597979,
2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.673412264498433,-0.24022295979711117,1.1396349028520163,-0.016740338037584422,0.898210856033294,0.03038141739033513,
1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.673412264498433,2.1176850175133426,1.1396349028520163,-0.016740338037584422,1.4535668706729312,0.9976452180404681,
1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.4940601337990185,-0.24022295979711117,-1.0308674761617589,0.6690944412541391,-0.2819206750759354,-0.9368823832597979,
1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00664864033030642,-0.24022295979711117,1.1396349028520163,-0.016740338037584422,-1.7397302135049835,0.9976452180404681,
1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.3270905501287735,-0.24022295979711117,-1.0308674761617589,0.6690944412541391,0.5511133468835206,-0.9368823832597979,
1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.3401423929153288,2.1176850175133426,-1.2913277616434118,-2.074244675912755,0.4122743432236113,0.9976452180404681,
1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.3270905501287735,1.183758722320651,-0.07584642939569783,0.6690944412541391,0.7593718523733847,0.9976452180404681,
0.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.3401423929153288,-1.471905932366928,-0.3363067148773508,-1.3884098966210314,-0.6984376860556634,0.03038141739033513,
1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.1734247566449576,-0.24022295979711117,0.010973665764853174,-0.7025751173293079,-1.39263270435521,0.03038141739033513,
1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.172936098572023,0.5675831586870179,1.2264549980125672,-0.7025751173293079,0.7593718523733847,-0.9368823832597979,
2.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.839969008732227,-1.471905932366928,-1.4649679519645138,0.6690944412541391,-0.8372766897155727,-1.904146183909931,
1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.4940601337990185,0.5675831586870179,-0.5967670003590039,-0.7025751173293079,-0.9066961915455274,0.03038141739033513,
0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.8383319838645327,-0.24022295979711117,1.2264549980125672,-1.3884098966210314,1.1758888633531126,0.9976452180404681,
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.6611013161281462,-0.24022295979711117,-1.204507666482861,1.3549292205458625,-1.600891209845074,0.03038141739033513,
1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.5057196414013376,-1.471905932366928,-1.0308674761617589,-0.7025751173293079,-0.35134017690589003,-0.9368823832597979,
2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.172936098572023,-0.24022295979711117,-1.551788047125065,-0.7025751173293079,-1.5314717080151194,-0.9368823832597979,
2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0064763384636106,-1.471905932366928,-0.9440473810012079,-0.016740338037584422,1.3841473688429766,0.03038141739033513,
2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5068041125862829,0.5675831586870179,-1.2913277616434118,1.3549292205458625,-0.07366216958607137,0.03038141739033513,
2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.839969008732227,-1.471905932366928,0.18461385608595518,1.3549292205458625,-0.2125011732459807,-2.871409984560064,
2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.3270905501287735,-0.24022295979711117,-0.6835870955195549,0.6690944412541391,1.3841473688429766,0.9976452180404681,
2.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.673412264498433,1.183758722320651,-1.0308674761617589,0.6690944412541391,1.3841473688429766,-2.871409984560064,
1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.172936098572023,0.5675831586870179,-0.8572272858406569,-0.7025751173293079,1.6618253761627952,-0.9368823832597979,
2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00664864033030642,1.183758722320651,0.9659947125309142,-0.7025751173293079,1.106469361523158,-0.9368823832597979,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.170783920453733,-1.471905932366928,0.5318942367281592,1.3549292205458625,-0.4207596787358447,0.03038141739033513,
1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.6651343697690544,-0.24022295979711117,-0.3363067148773508,-2.074244675912755,-0.4901791805657994,2.9321728193407344,
1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.672046505218234,1.183758722320651,0.7055344270492612,1.3549292205458625,1.106469361523158,0.03038141739033513,
2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.172936098572023,1.687916313021881,1.0528148076914652,-0.7025751173293079,1.6618253761627952,0.03038141739033513,
2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00664864033030642,1.687916313021881,-1.378147856803963,-2.074244675912755,1.3841473688429766,0.9976452180404681,
0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.3401423929153288,1.183758722320651,-1.4649679519645138,0.6690944412541391,0.5511133468835206,-1.904146183909931,
0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.673412264498433,1.687916313021881,-1.725428237446167,-0.7025751173293079,-0.9066961915455274,0.03038141739033513,
1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.1626997335917064,-1.471905932366928,-0.8572272858406569,0.6690944412541391,0.2040158377337473,0.03038141739033513,
2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.3270905501287735,1.183758722320651,-0.16266652455624883,-0.016740338037584422,0.68995235054343,-0.9368823832597979,
2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.00664864033030642,-0.24022295979711117,-1.6386081422856158,0.6690944412541391,0.34285484139365663,0.03038141739033513,
2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.828218347021066,-0.24022295979711117,-0.9440473810012079,1.3549292205458625,0.273435339563702,-0.9368823832597979,
1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.9954160107828299,-0.24022295979711117,1.7473755689758732,-0.016740338037584422,0.06517683407383795,0.03038141739033513,
1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.00664864033030642,-0.24022295979711117,-1.6386081422856158,-0.016740338037584422,-0.35134017690589003,0.9976452180404681,
1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-0.1601887648634528,2.1176850175133426,-0.5099469051984529,0.6690944412541391,0.06517683407383795,0.9976452180404681,
0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.3401423929153288,-0.24022295979711117,-1.1176875713223098,-0.7025751173293079,-0.2819206750759354,0.9976452180404681,
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.1734247566449576,0.5675831586870179,-0.4231268100379018,-1.3884098966210314,1.106469361523158,0.03038141739033513,
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.828218347021066,-0.24022295979711117,0.6187143318887102,-2.074244675912755,-1.4620522061851646,2.9321728193407344,
2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.673412264498433,-0.24022295979711117,-1.4649679519645138,0.6690944412541391,-1.1149546970353914,0.03038141739033513,
2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.3270905501287735,-1.471905932366928,-1.0308674761617589,-0.7025751173293079,0.48169384505356594,0.03038141739033513,
1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.1601887648634528,-1.471905932366928,-0.9440473810012079,1.3549292205458625,1.4535668706729312,0.03038141739033513,
1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.505100994672269,0.5675831586870179,1.0528148076914652,1.3549292205458625,-1.600891209845074,0.9976452180404681,
0.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.6651343697690544,-1.471905932366928,1.48691528349422,0.6690944412541391,-0.2125011732459807,0.03038141739033513,
2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.3401423929153288,-0.24022295979711117,0.18461385608595518,1.3549292205458625,-0.6290181842257087,0.03038141739033513,
1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5068041125862829,-0.24022295979711117,1.48691528349422,0.6690944412541391,-1.0455351952054368,0.03038141739033513,
2.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.6611013161281462,1.183758722320651,-1.378147856803963,-1.3884098966210314,-0.6984376860556634,0.9976452180404681,
2.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.172936098572023,0.5675831586870179,-1.378147856803963,0.6690944412541391,-1.184374198865346,-1.904146183909931,
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.672046505218234,0.5675831586870179,1.2264549980125672,-0.7025751173293079,0.898210856033294,0.03038141739033513,
1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.3401423929153288,0.5675831586870179,-0.8572272858406569,-0.016740338037584422,1.106469361523158,-1.904146183909931,
2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.8383319838645327,1.183758722320651,1.1396349028520163,-0.7025751173293079,0.34285484139365663,-0.9368823832597979,
2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.1734247566449576,-0.24022295979711117,1.0528148076914652,1.3549292205458625,-0.9066961915455274,-0.9368823832597979,
0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1734247566449576,0.5675831586870179,1.313275093173118,-0.016740338037584422,0.2040158377337473,-0.9368823832597979,
1.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.00664864033030642,-0.24022295979711117,0.44507414156760816,-0.7025751173293079,0.4122743432236113,0.03038141739033513,
2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.1601887648634528,-1.471905932366928,1.48691528349422,-1.3884098966210314,0.2040158377337473,0.03038141739033513,
1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.4940601337990185,-0.24022295979711117,1.48691528349422,-0.016740338037584422,-0.14308167141602604,0.9976452180404681,
2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.1734247566449576,-0.24022295979711117,1.313275093173118,-0.7025751173293079,-0.6290181842257087,0.9976452180404681,
